name,city,region,cuisine,price,url,stars
The Modern,New York,New York City,Contemporary,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/the-modern,**
Aquavit,New York,New York City,Scandinavian,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/aquavit,**
Daniel,New York,New York City,French,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/daniel,**
Aska,New York,New York City,Scandinavian,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/aska,**
Blanca,New York,New York City,Contemporary,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/blanca,**
Patrick Guilbaud,City Centre,Ireland,Modern French,4,https://guide.michelin.com/ie/en/dublin/city-centre/restaurant/patrick-guilbaud,**
Oro,Rio de Janeiro - **441,Rio de Janeiro,creative,5,https://guide.michelin.com/br/en/rio-de-janeiro-region/rio-de-janeiro/restaurant/oro,**
Tuju,São Paulo - 05416,Sao Paulo,creative,5,https://guide.michelin.com/br/en/sao-paulo-region/sao-paulo/restaurant/tuju,**
D.O.M.,São Paulo - 01411,Sao Paulo,creative,5,https://guide.michelin.com/br/en/sao-paulo-region/sao-paulo/restaurant/d-o-m,**
Kojima,Seoul,South Korea,Sushi,5,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/kojima,**
Jungsik,Seoul,South Korea,Korean contemporary,3,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/jungsik511965,**
Kwonsooksoo,Seoul,South Korea,Korean,3,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/kwonsooksoo,**
Mingles,Seoul,South Korea,Korean contemporary,3,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/mingles,**
Alla Prima,Seoul,South Korea,Innovative,3,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/alla-prima,**
Waku Ghin,Singapore,Singapore,Japanese contemporary,5,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/waku-ghin,**
Odette,Singapore,Singapore,French contemporary,4,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/odette,**
Shoukouwa,Singapore,Singapore,Sushi,5,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/shoukouwa,**
Shisen Hanten,Singapore,Singapore,Chinese,0,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/shisen-hanten,**
Les Amis,Singapore,Singapore,French,3,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/les-amis,**
Fäviken Magasinet,Järpen,Sweden,Creative,4,https://guide.michelin.com/se/en/jamtland/jarpen/restaurant/faviken-magasinet,**
Gastrologik,Stockholm,Sweden,Creative,4,https://guide.michelin.com/se/en/stockholm-region/stockholm/restaurant/gastrologik,**
Oaxen Krog,Stockholm,Sweden,Creative,4,https://guide.michelin.com/se/en/stockholm-region/stockholm/restaurant/oaxen-krog,**
Vollmers,Malmö,Sweden,Creative,4,https://guide.michelin.com/se/en/skane/malmo/restaurant/vollmers,**
Daniel Berlin,Skåne-Tranås,Sweden,Creative,4,https://guide.michelin.com/se/en/skane/skane-tranas/restaurant/daniel-berlin,**
RAW,Taipei,Taipei,Innovative,3,https://guide.michelin.com/tw/en/taipei-region/taipei/restaurant/raw,**
Shoun RyuGin,Taipei,Taipei,Japanese contemporary,4,https://guide.michelin.com/tw/en/taipei-region/taipei/restaurant/shoun-ryugin,**
Taïrroir,Taipei,Taipei,Innovative,3,https://guide.michelin.com/tw/en/taipei-region/taipei/restaurant/tairroir,**
Sushi Amamoto,Taipei,Taipei,Sushi,4,https://guide.michelin.com/tw/en/taipei-region/taipei/restaurant/sushi-amamoto,**
The Guest House,Taipei,Taipei,Sichuan-Huai Yang,2,https://guide.michelin.com/tw/en/taipei-region/taipei/restaurant/the-guest-house,**
Gaggan,Bangkok,Thailand,Innovative,5,https://guide.michelin.com/th/en/bangkok-region/bangkok/restaurant/gaggan,**
Sühring,Bangkok,Thailand,European contemporary,4,https://guide.michelin.com/th/en/bangkok-region/bangkok/restaurant/suhring,**
Mezzaluna,Bangkok,Thailand,Innovative,5,https://guide.michelin.com/th/en/bangkok-region/bangkok/restaurant/mezzaluna,**
Le Normandie,Bangkok,Thailand,French contemporary,4,https://guide.michelin.com/th/en/bangkok-region/bangkok/restaurant/le-normandie,**
minibar,"Washington, D.C.",Washington DC,Contemporary,4,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/minibar,**
Pineapple and Pearls,"Washington, D.C.",Washington DC,Contemporary,4,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/pineapple-and-pearls,**
Andrew Fairlie at Gleneagles,Auchterarder,United Kingdom,Creative French,4,https://guide.michelin.com/gb/en/perth-and-kinross/auchterarder/restaurant/andrew-fairlie-at-gleneagles,**
L'Enclume,Cartmel,United Kingdom,Creative,4,https://guide.michelin.com/gb/en/cumbria/cartmel/restaurant/l-enclume,**
Raby Hunt,Summerhouse,United Kingdom,Modern British,4,https://guide.michelin.com/gb/en/darlington/summerhouse/restaurant/raby-hunt,**
Moor Hall,Aughton,United Kingdom,Modern British,4,https://guide.michelin.com/gb/en/lancashire/aughton/restaurant/moor-hall,**
Restaurant Sat Bains,Nottingham,United Kingdom,Creative,4,https://guide.michelin.com/gb/en/nottingham/nottingham/restaurant/restaurant-sat-bains,**
Restaurant Nathan Outlaw,Port Isaac,United Kingdom,Seafood,4,https://guide.michelin.com/gb/en/cornwall/port-isaac/restaurant/restaurant-nathan-outlaw,**
Belmond Le Manoir aux Quat' Saisons,Great Milton,United Kingdom,French,4,https://guide.michelin.com/gb/en/oxfordshire/great-milton/restaurant/belmond-le-manoir-aux-quat-saisons,**
Midsummer House,Cambridge,United Kingdom,Modern cuisine,4,https://guide.michelin.com/gb/en/cambridgeshire/cambridge/restaurant/midsummer-house,**
Hand and Flowers,Marlow,United Kingdom,Modern British,4,https://guide.michelin.com/gb/en/buckinghamshire/marlow/restaurant/hand-and-flowers,**
Ledbury,North Kensington,United Kingdom,Modern cuisine,4,https://guide.michelin.com/gb/en/greater-london/north-kensington/restaurant/ledbury,**
CORE by Clare Smyth,North Kensington,United Kingdom,Modern British,4,https://guide.michelin.com/gb/en/greater-london/north-kensington/restaurant/core-by-clare-smyth,**
Le Gavroche,Mayfair,United Kingdom,French,4,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/le-gavroche,**
Kitchen Table at Bubbledogs,Bloomsbury,United Kingdom,Modern cuisine,4,https://guide.michelin.com/gb/en/greater-london/bloomsbury/restaurant/kitchen-table-at-bubbledogs,**
Hélène Darroze at The Connaught,Mayfair,United Kingdom,Modern cuisine,4,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/helene-darroze-at-the-connaught,**
Dinner by Heston Blumenthal,Hyde Park,United Kingdom,Traditional British,4,https://guide.michelin.com/gb/en/greater-london/hyde-park/restaurant/dinner-by-heston-blumenthal,**
Umu,Mayfair,United Kingdom,Japanese,4,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/umu,***
Sketch (The Lecture Room & Library),Mayfair,United Kingdom,Modern French,4,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/sketch-the-lecture-room-library,***
Greenhouse,Mayfair,United Kingdom,Creative,4,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/greenhouse69393,***
Claude Bosi at Bibendum,Chelsea,United Kingdom,French,4,https://guide.michelin.com/gb/en/greater-london/chelsea/restaurant/claude-bosi-at-bibendum,***
Amador,Wien,Austria,Creative,5,https://guide.michelin.com/at/en/vienna/wien/restaurant/amador,***
Manresa,South San Francisco,California,Contemporary,4,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/manresa,***
Benu,San Francisco,California,Asian,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/benu,***
Quince,San Francisco,California,Contemporary,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/quince,***
Atelier Crenn,San Francisco,California,Contemporary,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/atelier-crenn,***
The French Laundry,San Francisco,California,Contemporary,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/the-french-laundry,***
The Restaurant at Meadowood,San Francisco,California,Contemporary,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/the-restaurant-at-meadowood,***
SingleThread,San Francisco,California,Contemporary,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/singlethread,***
Alinea,Chicago,Chicago,Contemporary,4,https://guide.michelin.com/us/en/illinois/chicago/restaurant/alinea,***
Geranium,København,Denmark,Creative,4,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/geranium,***
T'ang Court,Hong Kong,Hong Kong,Cantonese,3,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/t-ang-court,***
Bo Innovation,Hong Kong,Hong Kong,Innovative,5,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/bo-innovation,***
Lung King Heen,Hong Kong,Hong Kong,Cantonese,4,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/lung-king-heen,***
Caprice,Hong Kong,Hong Kong,French,4,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/caprice,***
8½ Otto e Mezzo - Bombana,Hong Kong,Hong Kong,Italian,4,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/8%C2%BD-otto-e-mezzo-bombana,***
